,Opening Price,Closing Price,High,Returns,Volatility,Rolling_Corr
2018-08-21,-0.09562669760850709,-0.09584564229694903,-0.09758303176989462,0.019507029353652113,0.11596111236899838,0.06590367024477614
2018-08-22,-0.09562669765018696,-0.09584564233471576,-0.09758303181129,0.01950702942077217,0.11596111288396488,0.06590367033481455
2018-08-23,-0.09562669768495329,-0.09584564236621808,-0.097583031845819,0.01950702947675911,0.11596111331351446,0.0659036704099187
2018-08-24,-0.09562669771395298,-0.09584564239249513,-0.0975830318746207,0.019507029523459667,0.11596111367181519,0.06590367047256526
2018-08-25,-0.09562669773814259,-0.09584564241441365,-0.0975830318986452,0.01950702956241407,0.1159611139706851,0.06590367052482071
2018-08-26,-0.09562669775831997,-0.09584564243269672,-0.09758303191868482,0.019507029594907015,0.11596111421998187,0.06590367056840861
2018-08-27,-0.09562669777515036,-0.09584564244794695,-0.0975830319354003,0.01950702962201051,0.11596111442792806,0.06590367060476669
2018-08-28,-0.09562669778918924,-0.09584564246066782,-0.0975830319493434,0.019507029644618347,0.11596111460138252,0.06590367063509404
2018-08-29,-0.09562669780089955,-0.09584564247127869,-0.09758303196097375,0.019507029663476207,0.11596111474606637,0.0659036706603911
2018-08-30,-0.09562669781066732,-0.09584564248012938,-0.09758303197067483,0.01950702967920624,0.11596111486675156,0.0659036706814922
2018-08-31,-0.09562669781881517,-0.09584564248751229,-0.09758303197876704,0.0195070296923271,0.115961114967419,0.06590367069909316
2018-09-01,-0.09562669782561134,-0.09584564249367039,-0.09758303198551684,0.019507029703271665,0.11596111505138881,0.06590367071377475
2018-09-02,-0.09562669783128032,-0.09584564249880714,-0.09758303199114712,0.01950702971240075,0.11596111512143067,0.06590367072602109
2018-09-03,-0.09562669783600897,-0.09584564250309181,-0.09758303199584348,0.019507029720015695,0.11596111517985475,0.06590367073623624
2018-09-04,-0.09562669783995327,-0.09584564250666586,-0.09758303199976084,0.019507029726367565,0.1159611152285881,0.06590367074475696
2018-09-05,-0.09562669784324332,-0.09584564250964699,-0.09758303200302844,0.019507029731665845,0.11596111526923814,0.06590367075186428
2018-09-06,-0.09562669784598772,-0.0958456425121337,-0.0975830320057541,0.019507029736085268,0.1159611153031456,0.06590367075779283
2018-09-07,-0.09562669784827686,-0.09584564251420796,-0.0975830320080276,0.019507029739771666,0.11596111533142889,0.065903670762738
2018-09-08,-0.09562669785018629,-0.09584564251593809,-0.097583032009924,0.019507029742846644,0.11596111535502085,0.06590367076686285
2018-09-09,-0.09562669785177907,-0.09584564251738137,-0.09758303201150592,0.019507029745411533,0.11596111537469964,0.06590367077030357
2018-09-10,-0.09562669785310758,-0.09584564251858514,-0.09758303201282537,0.019507029747550995,0.11596111539111437,0.06590367077317358
2018-09-11,-0.09562669785421579,-0.0958456425195893,-0.09758303201392601,0.019507029749335623,0.11596111540480634,0.06590367077556754
2018-09-12,-0.09562669785514016,-0.09584564252042688,-0.0975830320148441,0.019507029750824224,0.1159611154162273,0.06590367077756445
